id,civilité,nom,prenom,département,circonscription,groupe_politique,email,sites,twitter,facebook,permanence,commissions,informations
"PA795950","M.","Amiel","David","Paris","13","Ensemble pour la République","david.amiel@assemblee-nationale.fr","","@Amiel_David_","","","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA794138","Mme","Amiot","Ségolène","Loire-Atlantique","3","La France insoumise - Nouveau Front Populaire","segolene.amiot@assemblee-nationale.fr","","@SegoleneAmiot","SegoleneAmiot","","Membre  de la Commission des affaires sociales | ",""
"PA610968","M.","Amirshahi","Pouria","Paris","5","Écologiste et Social","pouria.amirshahi@assemblee-nationale.fr","pouriaamirshahi.fr","@PouriaAmirshahi","Pouria Amirshahi","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA795588","Mme","Amrani","Farida","Essonne","1","La France insoumise - Nouveau Front Populaire","farida.amrani@assemblee-nationale.fr","","","","17, Emmanuel Pastré 91000 Evry-Courcouronnes","Membre  de la Commission des affaires culturelles et de l'éducation | Secrétaire de l'Assemblée nationale",""
"PA721158","M.","Anglade","Pieyre-Alexandre","Français établis hors de France","4","Ensemble pour la République","pieyre-alexandre.anglade@assemblee-nationale.fr","","","","35, Square de Meeus 1050 Ixelles","Membre  de la Commission des affaires étrangères | ",""
"PA795084","M.","Arenas","Rodrigo","Paris","10","La France insoumise - Nouveau Front Populaire","rodrigo.arenas@assemblee-nationale.fr","","@arenasrodrigo_","","","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA795144","M.","Armand","Antoine","Haute-Savoie","2","Ensemble pour la République","antoine.armand@assemblee-nationale.fr","www.antoine-armand.fr","","","","Membre  de la Commission des affaires économiques | ",""
"PA842105","M.","Arnault","Raphaël","Vaucluse","1","La France insoumise - Nouveau Front Populaire","raphael.arnault@assemblee-nationale.fr","","@ArnaultRaphael","","","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA793780","Mme","Arrighi","Christine","Haute-Garonne","9","Écologiste et Social","christine.arrighi@assemblee-nationale.fr","www.christine-arrighi.fr","","","7, Avenue de l'URSS 31400 Toulouse - Tél: 0658521618","Secrétaire  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA722190","M.","Attal","Gabriel","Hauts-de-Seine","10","Ensemble pour la République","gabriel.attal@assemblee-nationale.fr","www.gabrielattal.fr","@GabrielAttal","","","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA588884","Mme","Autain","Clémentine","Seine-Saint-Denis","11","Écologiste et Social","clementineautain93@gmail.com|clementine.autain@assemblee-nationale.fr","clementine-autain.fr/","@Clem_Autain","clementineautain","","Membre  de la Commission des affaires étrangères | ",""
"PA796118","Mme","Auzanot","Bénédicte","Vaucluse","2","Rassemblement National","benedicte.auzanot@assemblee-nationale.fr","www.benedicte-auzanot.fr","","","98, Avenue Gabriel Péri 84300 Cavaillon - Tél: 06 60 86 28 98","Membre de la commission des affaires culturelles et de l'éducation de la Commission des affaires culturelles et de l'éducation | ",""
"PA642764","M.","Aviragnet","Joël","Haute-Garonne","8","Socialistes et apparentés","joelaviragnet@gmail.com|joel.aviragnet@assemblee-nationale.fr","www.joelaviragnet.com","@JAviragnet","profile.php?id=100001391067319","5, Place Jean Jaurès 31800 Saint-Gaudens - Tél: 05 62 00 80 80","Membre  de la Commission des affaires sociales | ",""
"PA841701","Mme","Balage El Mariky","Léa","Paris","3","Écologiste et Social","lea.balage@assemblee-nationale.fr","","","","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA719558","M.","Balanant","Erwan","Finistère","8","Les Démocrates","erwan.balanant@assemblee-nationale.fr","","@erwanbalanant","erwanbalanant","40, Rue Bayard 29900 Concarneau - Tél: 02 98 53 89 35 - Tél: 07 89 95 46 38","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA794562","M.","Ballard","Philippe","Oise","2","Rassemblement National","philippe.ballard@assemblee-nationale.fr|permanence.ballard@gmail.com","www.philippeballard.fr","@BallardPhilippe","BallardPhilippe","56, Place Paul de la Folie 60390 Auneuil - Tél: 0365330116","Vice-président  de la Commission des affaires culturelles et de l'éducation | ",""
"PA842279","Mme","Bamana","Anchya","Mayotte","2","Rassemblement National","anchya.bamana@assemblee-nationale.fr","","","","","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA720256","Mme","Bannier","Géraldine","Mayenne","2","Les Démocrates","geraldine.bannier@assemblee-nationale.fr","www.geraldinebannier.fr","@Bannier_G","geraldine.bannier.1","13, Place Paul Doumer 53200 Château-Gontier-sur-Mayenne","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA643143","M.","Baptiste","Christian","Guadeloupe","2","Socialistes et apparentés","christian.baptiste@assemblee-nationale.fr","","@ChrisBapt","","Place Schloelcher 97180 Sainte-Anne","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA267561","Mme","Barèges","Brigitte","Tarn-et-Garonne","1","UDR","brigitte.bareges@assemblee-nationale.fr","","@X : x.com/BrigitteBareges","brigitte.bareges","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA793238","M.","Barthès","Christophe","Aude","1","Rassemblement National","christophe.barthes@assemblee-nationale.fr","","","Christophe Barthès","12, Rue Victor Hugo 11000 Carcassonne","Membre  de la Commission des affaires économiques | ",""
"PA840829","M.","Barusseau","Fabrice","Charente-Maritime","3","Socialistes et apparentés","fabrice.barusseau@assemblee-nationale.fr","","@fbarusseau","fabrice.barusseau.7","   - Tél: 05 46 91 23 94","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA267763","M.","Bataille","Jean-Pierre","Nord","15","Libertés, Indépendants, Outre-mer et Territoires","jean-pierre.bataille@assemblee-nationale.fr","","","","","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA335999","Mme","Batho","Delphine","Deux-Sèvres","2","Écologiste et Social","delphine.batho@assemblee-nationale.fr","","@delphinebatho","DelphineBatho","12, Avenue du Commandant Bernier 79500 Melle - Tél: 05 49 29 18 19","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA342415","Mme","Battistel","Marie-Noëlle","Isère","4","Socialistes et apparentés","mnoelle.battistel@orange.fr|marie-noelle.battistel@assemblee-nationale.fr","www.marienoelle-battistel.fr","","marienoelle.battistel","5, Rue de la Poste 38170 Seyssinet-Pariset - Tél: 04 76 70 15 15","Membre  de la Commission des affaires sociales | ",""
"PA793374","M.","Baubry","Romain","Bouches-du-Rhône","15","Rassemblement National","romain.baubry@assemblee-nationale.fr","www.romainbaubry.fr","","","29, Avenue Jean Jaurès 13560 Sénas","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA606793","M.","Baumel","Laurent","Indre-et-Loire","4","Socialistes et apparentés","laurent.baumel@assemblee-nationale.fr","","","","","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA642847","M.","Bazin","Thibault","Meurthe-et-Moselle","4","Droite Républicaine","thibault.bazin@assemblee-nationale.fr|permanence.bazin@gmail.com","www.thibaultbazin.fr","@thibault_bazin","DeputeThibaultBAZIN","17, Rue Carnot 54300 Lunéville - Tél: 03 83 73 79 58","Rapporteur général  de la Commission des affaires sociales | ",""
"PA718884","Mme","Bazin-Malgras","Valérie","Aube","2","Droite Républicaine","valerie.bazin-malgras@assemblee-nationale.fr","","","VBazinMalgras","4, Place Maréchal Foch 10000 Troyes - Tél: 0614304172","Vice-présidente  de la Commission de la défense nationale et des forces armées | ",""
"PA793158","M.","Beaurain","José","Aisne","4","Rassemblement National","jose.beaurain@assemblee-nationale.fr","","@beaurainjose","www.facebook.com/p/José-Beaurain-100082625055328/?_rdr","1 b, Boulevard Gambetta 02200 Soissons - Tél: 0323551077|6, Rue du Général Leclerc 02300 Chauny - Tél: 0323564627","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA642935","M.","Becht","Olivier","Haut-Rhin","5","Ensemble pour la République","cabinet.becht@gmail.com|olivier.becht@assemblee-nationale.fr","www.olivierbecht.com","","","28, Rue Zuber 68170 Rixheim - Tél: 06 37 42 69 81","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA720362","M.","Belhaddad","Belkhir","Moselle","1","Non inscrit","belkhir.belhaddad@en-marche.fr|belkhir.belhaddad@assemblee-nationale.fr","belkhirbelhaddad.fr/","@b_belhaddad","belhaddadbelkhir","8, Place Saint-Martin 57000 Metz","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA795278","Mme","Bellamy","Béatrice","Vendée","2","Horizons & Indépendants","beatrice.bellamy@assemblee-nationale.fr","","@BeaBellamy85","Béatrice Bellamy 2022","","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA842211","Mme","Bellay","Béatrice","Martinique","3","Socialistes et apparentés","beatrice.bellay@assemblee-nationale.fr","","","","","Membre  de la Commission des affaires sociales | ",""
"PA795362","Mme","Belluco","Lisa","Vienne","1","Écologiste et Social","lisa.belluco@assemblee-nationale.fr","www.lisabelluco.fr","@LisaBelluco","belluco.lisa","4, Place de Bretagne 86000 Poitiers","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA841657","Mme","Belouassa-Cherifi","Anaïs","Rhône","1","La France insoumise - Nouveau Front Populaire","anais.belouassa@assemblee-nationale.fr","","@BelouassaAnais","","150, Rue de Gerland 69007 Lyon","Membre  de la Commission des affaires sociales | ",""
"PA795454","M.","Ben Cheikh","Karim","Français établis hors de France","9","Écologiste et Social","karim.bencheikh@assemblee-nationale.fr","","","","","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA796106","M.","Bénard","Édouard","Seine-Maritime","3","Gauche Démocrate et Républicaine","permanence.ebenard@gmail.com|edouard.benard@assemblee-nationale.fr","","","","99, Avenue Jean Jaurès 76300 Sotteville-lès-Rouen - Tél: 02 27 08 87 70","Membre de la commission de la défense nationale et des forces armées de la Commission de la défense nationale et des forces armées | ",""
"PA841315","M.","Benbrahim","Karim","Loire-Atlantique","1","Socialistes et apparentés","karim.benbrahim@assemblee-nationale.fr","karim-benbrahim.com","@Benbrahim_K","","36-38, Rue de la Bourgeonnière 44300 Nantes","Membre  de la Commission des affaires économiques | ",""
"PA332228","M.","Benoit","Thierry","Ille-et-Vilaine","6","Horizons & Indépendants","contact@thierry-benoit.fr|thierry.benoit@assemblee-nationale.fr","www.thierry-benoit.fr","@ThierryBenoit35","Thierry.Benoit.148","1 Bis, Boulevard Leclerc 35300 Fougères - Tél: 02 99 17 11 71","Membre  de la Commission des affaires économiques | ",""
"PA794434","M.","Bentz","Christophe","Haute-Marne","1","Rassemblement National","christophe.bentz@assemblee-nationale.fr","www.christophebentz.fr","@BentzChristophe","ChristopheBentzDepute","21, Rue Jean Roussat 52200 Langres - Tél: 0352180068","Membre  de la Commission des affaires sociales | ",""
"PA805166","Mme","Bergantz","Anne","Yvelines","2","Les Démocrates","anne.bergantz@assemblee-nationale.fr","","","","6, Rue des Etats généraux 78000 Versailles","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA408578","M.","Berger","Jean-Didier","Hauts-de-Seine","12","Droite Républicaine","jean-didier.berger@assemblee-nationale.fr","","@JD_Berger","JeanDidierBerger.pageofficielle","","Vice-président  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA720430","M.","Bernalicis","Ugo","Nord","2","La France insoumise - Nouveau Front Populaire","ugo.bernalicis@assemblee-nationale.fr|contact@ugobernalicis.fr","www.ugobernalicis.fr","@ugobernalicis","ugobernalicis","70, Rue Faidherbe 59260 HELLEMMES|201, Rue Faidherbe 59260 Hellemmes","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA841645","M.","Bernhardt","Théo","Bas-Rhin","8","Rassemblement National","theo.bernhardt@assemblee-nationale.fr","","@Th_Bnrdt","","5, Rue des cavaliers 67160 Wissembourg - Tél: 09 83 79 58 41","Membre  de la Commission des affaires sociales | Secrétaire d'âge de l'Assemblée nationale",""
"PA687214","M.","Berrios","Sylvain","Val-de-Marne","1","Horizons & Indépendants","sylvain.berrios@assemblee-nationale.fr","sylvainberrios.fr","@sy_berrios","berrios","79, Boulevard de Créteil 94100 Saint-Maur-des-Fossés","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA719218","M.","Berville","Hervé","Côtes-d'Armor","2","Ensemble pour la République","herve.berville@en-marche.fr|herve.berville@assemblee-nationale.fr","","@HerveBerville","HerveBerville","64, Rue de Brest 22100 Dinan","Membre  de la Commission des affaires étrangères | ",""
"PA309643","Mme","Besse","Véronique","Vendée","4","Non inscrit","permanence@veroniquebesse.fr|veronique.besse@assemblee-nationale.fr","www.veroniquebesse2022.fr","@veroniquebesse","","49, Rue du Pont de la Ville 85500 Les Herbiers - Tél: 0252650421","Membre  de la Commission des affaires étrangères | ",""
"PA793772","M.","Bex","Christophe","Haute-Garonne","7","La France insoumise - Nouveau Front Populaire","christophe.bex@assemblee-nationale.fr","","@ChristopheBex","avecchristophebex","13, Rue Saint-Jacques 31600 Muret - Tél: 05 62 48 98 79","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA842001","M.","Bigot","Guillaume","Territoire de Belfort","2","Rassemblement National","guillaume.bigot@assemblee-nationale.fr","","@Guillaume_Bigot","Guillaume Bigot","2, Rue de Turenne 90300 Valdoie","Membre  de la Commission des affaires étrangères | ",""
"PA720822","M.","Bilde","Bruno","Pas-de-Calais","12","Rassemblement National","bruno.bilde@assemblee-nationale.fr","","@BrunoBilde","Bruno Bilde","24, Rue Roger Salengro 62160 Bully-les-Mines - Tél: 09.63.57.14.97","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA795616","M.","Bilongo","Carlos Martens","Val-d'Oise","8","La France insoumise - Nouveau Front Populaire","carlosmartens.bilongo@assemblee-nationale.fr","www.bilongo.fr","@bilongocarlos","carlos martens bilongo","66, Avenue Denis Papin 95400 Arnouville","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA840997","M.","Biteau","Benoît","Charente-Maritime","2","Écologiste et Social","benoit.biteau@assemblee-nationale.fr","","","","67, Avenue Lafayette 17300 Rochefort","Membre  de la Commission des affaires économiques | ",""
"PA720668","M.","Blairy","Emmanuel","Pas-de-Calais","1","Rassemblement National","emmanuel.blairy@assemblee-nationale.fr","","@BlairyEmmanuel","","","Vice-président  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA794886","Mme","Blanc","Sophie","Pyrénées-Orientales","1","Rassemblement National","sophie.blanc@assemblee-nationale.fr","","@sblanc66000","id=100086482959837","158, Avenue Georges Guynemer 66100 Perpignan - Tél: 04.11.30.08.44|158, Avenue Georges Guynemer 66100 Perpignan","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA719024","M.","Blanchet","Christophe","Calvados","4","Les Démocrates","christophe.blanchet@assemblee-nationale.fr","www.christophe-blanchet.fr","@christoblanchet","christopheblanchet","21, Route de Cabourg 14810 Merville-Franceville - Tél: 06 48 27 74 26 - Tél: 02 31 15 61 90","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA774954","Mme","Blin","Anne-Laure","Maine-et-Loire","3","Droite Républicaine","anne-laure.blin@assemblee-nationale.fr|contact@annelaureblin.fr","www.annelaureblin.fr","@annelaureblin","annelaureblin49","71, Rue du Maréchal Leclerc 49250 Beaufort-en-Anjou - Tél: 02.41.80.53.90","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA840889","M.","Bloch","Matthieu","Doubs","3","UDR","matthieu.bloch@assemblee-nationale.fr","","","","21, Rue des Huisselets 25200 Montbéliard - Tél: 06 08 36 69 20","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA796042","M.","Boccaletti","Frédéric","Var","7","Rassemblement National","frederic.boccaletti@assemblee-nationale.fr","","@Boccaletti83","@Boccaletti83","48, Avenue Vincent Picareau 83140 Six-Fours-les-Plages - Tél: 04 94 07 74 40","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA720162","M.","Bolo","Philippe","Maine-et-Loire","7","Les Démocrates","philippe.bolo@assemblee-nationale.fr","www.philippe-bolo.fr","@phbolo","","17, Place du docteur Bichon 49100 Angers - Tél: 0241257800","Membre  de la Commission des affaires économiques | ",""
"PA793444","M.","Bompard","Manuel","Bouches-du-Rhône","4","La France insoumise - Nouveau Front Populaire","manuel.bompard@assemblee-nationale.fr|contact@manuelbompard.fr","manuelbompard.fr/","@mbompard","mbompard","14, Rue Louis Astouin 13002 Marseille","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA569","M.","Bonnecarrère","Philippe","Tarn","1","Non inscrit","philippe.bonnecarrere@assemblee-nationale.fr","philippebonnecarrere.fr","@PBonnecarrere81","people/Philippe-Bonnecarr%C3%A8re/61561086032944","","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA719968","Mme","Bonnet","Sylvie","Loire","4","Droite Républicaine","sylvie.bonnet@assemblee-nationale.fr|deputee@bonnetsylvie.fr","","@sylviebonnet_42","BonnetSylvie42","3, Avenue Grégoire Chapoton 42170 Saint-Just-Saint-Rambert - Tél: 04.77.92.09.15 (Firminy) / 04.77.51.78.74 (Saint-Just-Saint-Rambert)|1, Rue Courbon Brioude 42700 Firminy","Membre  de la Commission des affaires sociales | ",""
"PA841507","M.","Bonnet","Nicolas","Puy-de-Dôme","3","Écologiste et Social","nicolas.bonnet@assemblee-nationale.fr","www.nicolasbonnet.fr","@NicolasBonnet63","NicolasBonnet63","","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA841885","M.","Bonnet","Arnaud","Seine-et-Marne","8","Écologiste et Social","arnaud.bonnet@assemblee-nationale.fr","","","","","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA721410","Mme","Bonnivard","Émilie","Savoie","3","Droite Républicaine","emilie.bonnivard@assemblee-nationale.fr","emilie-bonnivard.fr","@BonnivardE","ebonnivard","38, Place de la Sous-Préfecture 73300 Saint-Jean-de-Maurienne - Tél: 04 79 20 70 50","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA266793","M.","Bony","Jean-Yves","Cantal","2","Droite Républicaine","jybony@orange.fr|jean-yves.bony@assemblee-nationale.fr","","","","4, Rue Fernand Talandier 15200 Mauriac - Tél: 04 71 68 37 87","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA793844","Mme","Bordes","Pascale","Gard","3","Rassemblement National","pascale.bordes@assemblee-nationale.fr","","","","11, Boulevard Lacombe 30200 Bagnols-sur-Cèze","Vice-présidente  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA642695","M.","Bothorel","Éric","Côtes-d'Armor","5","Ensemble pour la République","contact@ericbothorel.bzh|eric.bothorel@assemblee-nationale.fr","ericbothorel.fr","@ebothorel","Eric-Bothorel-Député-circo2205","32, Place du Marchallac'h 22300 Lannion - Tél: 02 96 37 03 23","Membre  de la Commission des affaires sociales | ",""
"PA721816","M.","Boucard","Ian","Territoire de Belfort","1","Droite Républicaine","ian.boucard@gmail.com|ian.boucard@assemblee-nationale.fr","","@IanBoucard","IBoucard90","4, Rue Georges Clemenceau 90000 Belfort - Tél: 03 84 22 19 07","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA606507","M.","Boudié","Florent","Gironde","10","Ensemble pour la République","florent.boudie@assemblee-nationale.fr","","","","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA841487","M.","Boulogne","Anthony","Meurthe-et-Moselle","6","Rassemblement National","anthony.boulogne@assemblee-nationale.fr","","@AntBoulogne54","","26, Place Saint-Antoine 54700 Pont-à-Mousson","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA794094","M.","Bouloux","Mickaël","Ille-et-Vilaine","8","Socialistes et apparentés","mickael.bouloux@assemblee-nationale.fr","mickaelbouloux.bzh/","@MickaelBouloux","mickael.bouloux","21, Quai Lamennais 35000 Rennes","Membre  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
"PA794938","M.","Boumertit","Idir","Rhône","14","La France insoumise - Nouveau Front Populaire","idir.boumertit@assemblee-nationale.fr","","","","","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA841131","Mme","Bouquin","Manon","Hérault","4","Rassemblement National","manon.bouquin@assemblee-nationale.fr","","","","24, Rue Marius Laurez 34140 Mèze - Tél: 04 67 43 21 57","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA342240","M.","Bourgeaux","Jean-Luc","Ille-et-Vilaine","7","Droite Républicaine","jean-luc.bourgeaux@assemblee-nationale.fr","","","","73, Rue Ville Pépin 35400 Saint-Malo","Membre  de la Commission des affaires économiques | ",""
"PA720838","Mme","Bourouaha","Soumya","Seine-Saint-Denis","4","Gauche Démocrate et Républicaine","soumya.bourouaha@assemblee-nationale.fr|soumya.bourouaha@gmail.com","","@S_Bourouaha","Soumya Bourouaha","38, Avenue Paul Vaillant Couturier 93240 STAINS","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA719032","M.","Bouyx","Bertrand","Calvados","5","Horizons & Indépendants","bertrand.bouyx@assemblee-nationale.fr","www.bertrandbouyx.fr","","bertrandbouyx.fr","46, Rue Saint-Jean Allée de l'Orangerie 14400 Bayeux - Tél: 0231104810","Membre  de la Commission des affaires étrangères | ",""
"PA793182","M.","Bovet","Jorys","Allier","2","Rassemblement National","jorys.bovet@assemblee-nationale.fr|jorysb.rn03@gmail.com","","@JorysB3","jorys.bovet","5, Rue des Forges 03100 Montluçon","Membre  de la Commission des affaires étrangères | ",""
"PA795318","M.","Boyard","Louis","Val-de-Marne","3","La France insoumise - Nouveau Front Populaire","louis.boyard@assemblee-nationale.fr","","@LouisBoyard","boyardlouis","","Membre  de la Commission des affaires économiques | Secrétaire d'âge de l'Assemblée nationale",""
"PA841339","M.","Brard","Jean-Michel","Loire-Atlantique","9","Horizons & Indépendants","jean-michel.brard@assemblee-nationale.fr","","","jmichel.brard","","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA721908","Mme","Braun-Pivet","Yaël","Yvelines","5","Ensemble pour la République","yael.braun-pivet@assemblee-nationale.fr","","@YaelBRAUNPIVET","yaelBraunPivet","","Membre  de la Commission du développement durable et de l'aménagement du territoire | Présidente de l'Assemblée nationale",""
"PA795990","Mme","Bregeon","Maud","Hauts-de-Seine","13","Ensemble pour la République","maud.bregeon@assemblee-nationale.fr","","","","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA330008","M.","Breton","Xavier","Ain","1","Droite Républicaine","contact@xavierbreton.fr|xavier.breton@assemblee-nationale.fr","www.xavierbreton.fr","@bretonxavier","xavierbreton01","27, Rue du Docteur Hudellet 01000 Bourg-en-Bresse - Tél: 04 74 45 02 11","Membre  de la Commission des affaires culturelles et de l'éducation | Vice-président de l'Assemblée nationale",""
"PA793508","M.","Brigand","Hubert","Côte-d'Or","4","Droite Républicaine","hubert.brigand@assemblee-nationale.fr","","","","1, Place de la résistance 21400 Chatillon-sur-Seine","Membre  de la Commission de la défense nationale et des forces armées | ",""
"PA721336","Mme","Brocard","Blandine","Rhône","5","Les Démocrates","contact@blandinebrocard.com|blandine.brocard@assemblee-nationale.fr","www.blandinebrocard.com","@bbrocard","bbrocard","","Membre  de la Commission des lois constitutionnelles, de la législation et de l'administration générale de la République | ",""
"PA794330","M.","Brosse","Anthony","Loiret","5","Ensemble pour la République","anthony.brosse@assemblee-nationale.fr","www.anthonybrosse.fr","","","48, Faubourg de Paris 45300 Pithiviers - Tél: 0234830028","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA794710","M.","Brugerolles","Julien","Puy-de-Dôme","5","Gauche Démocrate et Républicaine","julien.brugerolles@assemblee-nationale.fr","julienbrugerolles.com","","","4, Place Jean-Antoine Pourtier 63890 Saint-Amant-Roche-Savine - Tél: 0473957490|3, Route des trois ponts 63300 Thiers - Tél: 0473511693","Membre  de la Commission des affaires économiques | ",""
"PA719890","Mme","Brulebois","Danielle","Jura","1","Ensemble pour la République","danielle.brulebois@assemblee-nationale.fr","","@dbrulebois","daniellebrulebois","22, Rue des Écoles 39000 Lons-Le-Saunier - Tél: 0384247495","Membre  de la Commission du développement durable et de l'aménagement du territoire | ",""
"PA718838","M.","Brun","Fabrice","Ardèche","3","Droite Républicaine","fabrice.brun@assemblee-nationale.fr","fabricebrun.fr","@FabriceBrun","FabriceBrunArdeche"," BP 50013 07201 Aubenas Cedex - Tél: 04 75 39 73 07","Membre  de la Commission des affaires culturelles et de l'éducation | ",""
"PA793624","M.","Brun","Philippe","Eure","4","Socialistes et apparentés","philippe.brun@assemblee-nationale.fr","philippe-brun.fr","@p_brun","philippe.d.brown","6, Rue du Sornier 27400 Louviers - Tél: 0279090114","Vice-président  de la Commission des finances, de l'économie générale et du contrôle budgétaire | ",""
